#{"t_start": 1778803850.4670432, "env_id": "None"}
r,l,t
13.212855,307,31.667654
11.984757,1381,172.506337
-19.791796,776,252.217799
-1.626895,1500,405.141533
-3.466823,271,434.501021
-10.102482,229,458.931344
-6.269908,387,499.364472
38.315057,1500,652.391501
-14.309034,667,721.137254
-9.917047,155,738.080665
-8.818561,517,791.653133
31.407677,429,836.337159
-17.381843,1500,990.128726
23.908664,1500,1143.162472
35.042009,639,1209.068864
46.692155,1500,1362.763956
25.61168,425,1407.018832
14.109242,323,1440.976986
40.230437,1500,1593.946177
-5.088083,152,1610.591861
-4.311441,73,1619.240633
29.041971,1500,1772.965461
5.709036,135,1787.904241
13.451084,348,1824.400478
4.250838,216,1847.483182
36.557904,1500,2000.461325
51.760732,1126,2116.288822
49.50649,1248,2243.773064
1.800711,211,2266.390379
1.123945,205,2288.393878
15.398623,225,2312.438314
1.866461,128,2326.648283
2.374485,473,2375.769125
4.379595,208,2398.056815
62.421924,1111,2511.660674
52.935503,1500,2665.401232
41.157577,276,2694.587154
51.817624,409,2737.240082
53.684966,1500,2890.256971
2.691395,209,2912.663653
23.967185,608,2976.103086
24.674234,305,3008.242389
20.034976,321,3042.006127
22.011547,257,3069.271692
5.76313,316,3102.512756
25.842696,375,3141.723783
31.82219,336,3176.991363
27.137178,437,3222.471746
-1.376825,159,3239.816113
37.65328,1500,3393.425575
17.586405,313,3426.361549
38.067533,527,3480.961983
50.346864,1230,3606.688934
18.99463,288,3637.110654
26.119709,214,3660.043514
30.601879,335,3695.19769
26.9413,488,3745.84322
0.605089,258,3773.214266
-9.886309,1066,3883.072448
19.499667,236,3908.213537
44.753168,588,3968.922577
47.016202,561,4026.955624
-3.068636,551,4083.936342
52.136607,530,4138.854239
14.740454,151,4155.408104
19.153453,209,4177.831899
14.16832,238,4203.174371
39.388151,432,4248.806741
27.807993,234,4273.756804
46.716517,849,4360.891393
56.39935,930,4456.200385
5.056405,252,4482.971824
22.025622,824,4567.569353
31.290427,243,4593.444479
32.317212,180,4612.95051
81.671432,1500,4766.58369
47.346805,396,4807.916186
20.217528,297,4839.239637
52.50077,1449,4987.163046
55.510102,687,5057.974872
63.583397,945,5155.477493
42.759166,672,5224.70508
9.342043,153,5241.458562
29.562686,1500,5394.535098
7.449248,183,5414.311287
25.39232,220,5437.836809
30.620666,293,5468.749955
9.568214,118,5481.976488
24.743474,1500,5635.680538
76.28875,603,5697.901926
40.331095,283,5727.790152
23.195877,183,5747.587121
33.666535,577,5807.271715
-8.056057,687,5877.99806
45.167677,1500,6031.775558
8.645536,186,6051.856367
10.230784,163,6069.626702
22.028692,174,6088.501599
66.186317,1500,6241.525033
25.947586,731,6316.756008
58.262481,567,6376.086752
8.421488,155,6393.045923
44.997703,1176,6513.343746
40.532815,286,6543.566002
23.100839,246,6569.731985
42.163914,364,6607.845722
9.352619,167,6625.99118
63.074022,1312,6759.994707
33.583225,257,6787.944313
27.95938,209,6810.383927
-1.113742,69,6818.640639
37.900882,355,6855.83188
30.068323,1500,7008.920852
24.229546,164,7026.812629
43.195197,306,7059.045845
57.078508,454,7106.26442
21.700863,191,7126.87026
24.094407,227,7151.089015
58.609008,628,7216.601315
52.740298,1500,7369.752473
52.796347,1500,7522.892779
51.167124,522,7577.004043
57.186167,734,7653.253163
33.121043,1040,7759.800462
29.865095,685,7830.397171
42.775182,1500,7983.461151
72.966746,1500,8137.316327
9.735362,143,8153.058773
20.22323,168,8171.349561
90.521279,1500,8324.343516
12.697134,244,8350.305235
60.798017,1304,8484.230036
49.016676,258,8511.599711
21.710734,193,8532.400385
22.581258,182,8552.098027
49.265601,1500,8705.045979
47.547931,354,8742.108655
22.622345,167,8760.289158
32.822017,619,8824.286463
32.360198,243,8850.178061
63.894666,1500,9003.831701
54.791792,1500,9156.901761
60.957386,620,9220.888633
47.183349,543,9277.170366
23.080232,1304,9411.09423
27.209254,186,9431.195438
27.476021,1500,9584.274257
51.332231,785,9664.939812
51.649449,422,9708.93386
20.440859,305,9741.743865
90.755364,1119,9856.299133
21.159753,196,9877.414559
42.411258,197,9898.619403
55.184023,1500,10051.64389
55.510722,343,10087.627671
23.045791,158,10104.892328
16.154787,132,10119.5286
281.069755,1500,10273.228161
33.752982,912,10366.744425
95.097128,1500,10519.685982
16.669858,791,10601.635556
23.030386,162,10619.302108
90.117868,1327,10754.813529
18.270413,169,10773.207266
61.863399,1500,10926.414553
22.893383,174,10945.293434
-3.852174,203,10967.100768
13.051132,163,10984.840956
70.750918,1500,11138.441849
71.773437,1072,11248.127782
76.533991,1500,11401.229632
8.693194,505,11454.358211
47.298777,458,11501.965344
73.113977,534,11557.270187
36.635307,1500,11710.256089
29.980306,285,11740.365161
67.258859,397,11781.79458
11.068849,148,11798.041001
56.836387,407,11840.502047
37.037923,238,11866.682227
38.078929,320,11900.37416
75.874998,1500,12053.592821
82.179707,1244,12180.698833
57.656675,748,12257.637479
62.829476,1477,12408.917574
40.745722,471,12457.844543
4.031601,169,12476.214688
51.862398,1500,12629.425614
48.066559,317,12662.757946
29.366902,188,12683.058812
25.288946,152,12700.380165
47.913612,265,12728.460469
160.150413,1500,12881.449204
25.92252,207,12903.671114
30.264652,212,12926.432293
62.482365,1500,13079.465016
9.201965,138,13094.69376
34.102826,803,13177.856411
42.946124,230,13202.381705
25.493133,194,13223.267911
37.457748,1500,13376.221784
32.041522,339,13410.583221
46.357822,398,13452.134955
55.33357,409,13494.780116
52.930382,535,13550.845931
46.784875,284,13580.841313
11.525409,137,13595.985238
41.222487,240,13621.563747
40.244797,269,13650.065248
46.405999,996,13752.072585
53.494882,350,13788.745502
45.511588,255,13815.809394
39.559542,1500,13969.485287
68.653438,1500,14122.475781
78.182567,1500,14275.570772
23.474583,213,14298.410438
29.715504,204,14320.348514
50.113422,287,14350.670095
29.73111,249,14377.134003
44.945329,241,14403.489372
82.73928,570,14462.460786
69.017546,1500,14615.488029
30.654687,261,14643.173601
80.110874,1500,14796.11897
40.240981,213,14819.62234
-4.142837,56,14826.567732
59.437798,1500,14979.595457
52.3497,310,15012.262876
51.986106,1500,15165.137206
53.062367,1500,15318.770488
58.055072,1500,15471.99132
74.681266,1500,15624.953578
96.556302,1500,15778.6467
101.70585,1281,15909.497486
41.617144,364,15947.604886
49.484838,293,15978.533565
44.534473,299,16010.100301
23.070435,214,16033.033783
57.083886,547,16090.308228
37.19451,188,16110.610408
79.164162,1262,16239.521789
85.845286,1500,16392.497428
106.873024,1006,16496.151324
49.121134,941,16592.649288
66.823865,1500,16745.601449
-2.707849,215,16768.61667
113.999658,1090,16880.134079
65.723359,358,16918.317363
7.795637,140,16933.742144
24.196128,198,16955.067456
40.088127,284,16985.082938
22.181772,170,17003.579839
59.960769,1500,17156.528595
45.710617,359,17194.144775
25.269317,170,17212.625288
103.983527,955,17310.515521
77.36068,1413,17455.483789
52.788744,541,17511.520332
54.767664,405,17553.799829
110.499052,1500,17706.82403
26.931691,170,17725.302609
71.609968,942,17822.585113
83.86349,1500,17975.584098
122.713222,789,18056.695636
32.870622,380,18096.443708
51.541479,983,18197.837808
68.836982,557,18255.526541
43.315504,278,18284.950725
66.450006,1500,18437.97727
51.573978,357,18475.387368
47.047534,233,18500.23874
27.397246,161,18517.836837
7.992837,202,18539.541089
24.869543,161,18557.109566
38.473664,240,18582.685293
37.20772,181,18602.288827
33.343573,237,18628.187153
186.19597,941,18724.848772
44.610162,321,18758.63006
154.485314,1500,18911.738163
28.958595,180,18931.227204
48.654116,261,18958.941952
29.934928,184,18978.850526
24.405671,173,18996.447984
58.254698,924,19092.070085
37.383988,191,19112.701071
48.912111,271,19140.199278
26.793869,174,19159.097396
76.506558,1500,19312.105805
59.804378,1464,19462.051365
42.604115,646,19528.751908
62.607134,1500,19681.689924
136.350349,1500,19835.058523
23.707768,167,19853.245291
75.957147,1500,20006.9614
42.438023,208,20029.320805
