#{"t_start": 1775582816.434412, "env_id": "None"}
r,l,t
-1972881.239962,65,28.073222
-2060938.922107,199,80.229033
18104392.76394,62,98.205387
18099083.619872,219,151.683322
-1869643.399743,86,175.359672
18166158.675683,250,238.853937
18243927.325178,283,309.277348
18197863.553694,118,340.163913
17759442.064722,477,457.144317
-1979353.538835,12,463.254243
-1996503.032796,2,463.752414
-1979730.347419,12,470.186975
38576742.477632,346,559.760829
18190023.484736,143,597.288999
-1887225.322679,69,617.250661
18178576.485506,111,646.229757
-1986189.917518,8,651.06096
38395062.736443,234,708.612616
-1976228.027607,14,714.875065
-1991323.420423,5,719.066641
-2014256.542667,162,760.986603
