#{"t_start": 1778746065.50545, "env_id": "None"}
r,l,t
-6.65478,736,76.516747
-43.431601,3000,381.703754
-70.452302,3000,687.923316
-14.744065,604,750.469794
-83.718653,2987,1055.128424
-28.282499,769,1134.219352
-2.656767,550,1191.190533
271.730314,3000,1497.053944
119.580779,1511,1651.306179
10.985378,2187,1874.689248
-1.83527,889,1965.968708
61.355532,783,2045.386146
-8.754469,1062,2154.925368
314.478891,3000,2460.292736
8.525008,219,2483.738127
23.523275,3000,2789.848454
360.887068,3000,3096.271129
2.767831,3000,3402.562824
389.775619,3000,3708.103137
5.31957,3000,4014.251702
5.871485,3000,4320.316725
447.843286,3000,4626.316347
29.101029,3000,4931.414461
476.828242,3000,5237.457885
-14.609444,3000,5543.350688
499.534634,3000,5848.651945
86.118706,2638,6117.797963
-34.95321,3000,6423.669798
30.874975,3000,6729.522094
18.485758,3000,7034.391056
87.120997,2635,7303.108487
-33.526457,3000,7608.816933
534.411576,3000,7913.933582
69.11624,1807,8099.014885
96.186447,3000,8404.749839
-1.808787,3000,8709.852371
-28.443291,3000,9015.385339
96.330939,3000,9320.975565
-33.72406,3000,9626.575349
88.480767,2773,9908.621894
103.911133,1565,10069.028153
102.380453,1508,10222.983761
109.146018,3000,10528.800903
116.839137,1291,10660.878163
-39.028893,3000,10966.578673
105.9784,1837,11153.823644
61.830589,1041,11260.514878
106.792889,1892,11454.05815
-29.75804,3000,11759.777625
75.023444,1214,11883.957359
-27.94526,3000,12189.669145
62.738198,1179,12310.281224
66.953524,2014,12515.475569
39.769982,1160,12634.932256
98.906769,2016,12840.466235
83.661106,1567,13001.197764
95.257245,2265,13231.804999
118.628738,981,13332.373998
48.252289,3000,13638.258206
20.401049,3000,13944.140806
74.058424,1319,14078.983307
54.881172,2406,14324.710525
118.222318,2045,14533.034929
70.512303,918,14627.961645
118.976463,720,14702.17813
102.328746,2972,15004.36676
120.213493,653,15072.48578
63.652757,2023,15278.773309
118.78347,639,15344.765697
79.176774,1055,15452.841121
97.543127,1774,15634.48592
116.117996,749,15711.580241
70.492257,871,15801.125279
70.687015,729,15876.208586
119.151193,737,15952.871579
69.29894,594,16014.289779
66.596387,690,16085.439505
71.001034,687,16156.278199
116.913767,565,16214.745563
108.806851,1105,16328.602246
78.12462,884,16419.372282
119.064725,777,16499.327198
121.06908,678,16569.240939
117.717577,865,16658.100204
65.923887,518,16711.83966
120.018516,705,16785.253897
84.060025,2305,17019.937151
69.633858,779,17100.070519
-127.109764,3000,17405.943585
118.089327,620,17469.981124
73.47837,769,17549.190253
117.647314,583,17610.309863
67.974894,524,17664.61104
65.452911,832,17750.161766
71.669695,872,17839.722125
70.630586,700,17911.870698
72.252961,799,17994.889465
66.003762,606,18057.589522
119.24751,556,18115.209863
119.422867,567,18173.888205
120.306412,542,18230.069857
119.991901,588,18290.878762
81.028068,1090,18402.51166
120.712155,521,18457.290328
75.500856,882,18547.899038
65.328182,762,18626.309762
95.670677,3000,18932.1823
76.679221,839,19018.407885
75.670799,714,19092.01792
68.766846,874,19181.799188
121.20448,538,19237.54753
70.261431,661,19306.47222
67.412193,497,19358.090281
65.742912,501,19410.126452
56.559335,1124,19525.343096
121.102559,519,19579.194535
137.152669,3000,19885.023501
71.515566,797,19967.090831
66.161519,886,20058.144314
120.834437,486,20109.534117
134.641326,3000,20414.699223
123.356868,548,20471.503047
120.415757,509,20525.021444
118.482968,582,20585.21589
138.058462,3000,20890.323777
119.868633,493,20942.314458
122.649464,530,20997.291581
61.43379,1556,21156.041964
85.895039,2134,21374.169383
112.672634,1124,21489.316131
121.799419,505,21541.708663
160.362093,2677,21814.849757
121.493051,485,21865.249365
65.923704,857,21953.266366
121.61973,500,22005.171998
152.005727,2430,22253.222094
115.253661,749,22330.348045
120.016821,477,22379.952668
122.06725,511,22432.950231
119.946348,545,22489.430644
126.529488,3000,22795.39479
120.935212,489,22846.178757
68.564642,648,22913.100416
67.814169,483,22963.272171
117.544613,685,23033.914187
130.437509,597,23096.40761
123.145528,459,23144.166653
138.656203,3000,23449.224315
119.773896,463,23498.197633
23.43576,3000,23803.372615
123.241212,478,23853.016274
115.049092,831,23939.178794
-1.521245,60,23946.502429
121.464483,471,23995.484729
102.436033,2206,24220.201351
118.933348,442,24266.241482
65.362077,741,24343.301241
69.027419,613,24406.599963
121.281923,448,24453.234038
67.397369,635,24518.797117
65.635233,868,24607.986438
120.19419,728,24683.011357
118.998587,434,24728.969945
119.014035,444,24775.223239
121.604054,454,24822.449755
121.092934,475,24871.845137
117.855218,654,24939.336391
67.28083,568,24998.146448
120.738441,440,25043.959839
66.541915,640,25110.055157
120.735451,473,25160.012073
120.423376,448,25206.652162
117.69291,480,25256.525549
121.063207,461,25304.5005
69.464665,672,25373.826331
120.965983,446,25420.280905
118.921791,479,25470.033784
117.227656,604,25532.499994
66.657879,851,25620.763752
121.778381,612,25684.001066
118.97894,443,25730.14662
10.325201,2638,25999.41571
121.205722,490,26050.333317
66.449825,651,26117.55873
69.415224,654,26185.047814
120.610436,450,26231.87709
121.847391,458,26279.543204
119.791116,482,26329.627506
140.765042,3000,26635.559356
119.491413,440,26681.415642
119.367542,440,26727.261603
65.814291,635,26792.826702
119.736796,448,26839.49164
118.996271,447,26886.76607
120.047918,439,26932.511494
121.71053,444,26978.766479
119.901471,447,27025.298831
120.161268,473,27074.467472
